id,slopeNumerator,slopeDenominator,yinterceptNumerator,yinterceptDenominator,category,reference,page
newton,1,1,0,1,metricSi,,
quettanewton,1000000000000000000000000000000,1,0,1,metricSi,doi:10.59161/10.59161/CGPM2022RES3E,
ronnanewton,1000000000000000000000000000,1,0,1,metricSi,doi:10.59161/10.59161/CGPM2022RES3E,
yottanewton,1000000000000000000000000,1,0,1,metricSi,https://www.nist.gov/pml/owm/metric-si-prefixes,
zettanewton,1000000000000000000000,1,0,1,metricSi,https://www.nist.gov/pml/owm/metric-si-prefixes,
exanewton,1000000000000000000,1,0,1,metricSi,https://www.nist.gov/pml/owm/metric-si-prefixes,
petanewton,1000000000000000,1,0,1,metricSi,https://www.nist.gov/pml/owm/metric-si-prefixes,
teranewton,1000000000000,1,0,1,metricSi,https://www.nist.gov/pml/owm/metric-si-prefixes,
giganewton,1000000000,1,0,1,metricSi,https://www.nist.gov/pml/owm/metric-si-prefixes,
meganewton,1000000,1,0,1,metricSi,https://www.nist.gov/pml/owm/metric-si-prefixes,
kilonewton,1000,1,0,1,metricSi,https://www.nist.gov/pml/owm/metric-si-prefixes,
hectonewton,100,1,0,1,metricSi,https://www.nist.gov/pml/owm/metric-si-prefixes,
decanewton,10,1,0,1,metricSi,https://www.nist.gov/pml/owm/metric-si-prefixes,
decinewton,1,10,0,1,metricSi,https://www.nist.gov/pml/owm/metric-si-prefixes,
centinewton,1,100,0,1,metricSi,https://www.nist.gov/pml/owm/metric-si-prefixes,
millinewton,1,1000,0,1,metricSi,https://www.nist.gov/pml/owm/metric-si-prefixes,
micronewton,1,1000000,0,1,metricSi,https://www.nist.gov/pml/owm/metric-si-prefixes,
nanonewton,1,1000000000,0,1,metricSi,https://www.nist.gov/pml/owm/metric-si-prefixes,
piconewton,1,1000000000000,0,1,metricSi,https://www.nist.gov/pml/owm/metric-si-prefixes,
femtonewton,1,1000000000000000,0,1,metricSi,https://www.nist.gov/pml/owm/metric-si-prefixes,
attonewton,1,1000000000000000000,0,1,metricSi,https://www.nist.gov/pml/owm/metric-si-prefixes,
zeptonewton,1,1000000000000000000000,0,1,metricSi,https://www.nist.gov/pml/owm/metric-si-prefixes,
yoctonewton,1,1000000000000000000000000,0,1,metricSi,https://www.nist.gov/pml/owm/metric-si-prefixes,
rontonewton,1,1000000000000000000000000000,0,1,metricSi,doi:10.59161/10.59161/CGPM2022RES3E,
quectonewton,1,1000000000000000000000000000000,0,1,metricSi,doi:10.59161/10.59161/CGPM2022RES3E,
poundForce,13838155,3110941,0,1,english,doi:10.1007/978-1-4471-0003-4,535
kip,395411,88891929,0,1,english,doi:10.1007/978-1-4471-0003-4,535
