id,slopeNumerator,slopeDenominator,yinterceptNumerator,yinterceptDenominator,category,reference,page
meter,1,1,0,1,metricSi,,
quettameter,1000000000000000000000000000000,1,0,1,metricSi,doi:10.59161/10.59161/CGPM2022RES3E,
ronnameter,1000000000000000000000000000,1,0,1,metricSi,doi:10.59161/10.59161/CGPM2022RES3E,
yottameter,1000000000000000000000000,1,0,1,metricSi,https://www.nist.gov/pml/owm/metric-si-prefixes,
zettameter,1000000000000000000000,1,0,1,metricSi,https://www.nist.gov/pml/owm/metric-si-prefixes,
exameter,1000000000000000000,1,0,1,metricSi,https://www.nist.gov/pml/owm/metric-si-prefixes,
petameter,1000000000000000,1,0,1,metricSi,https://www.nist.gov/pml/owm/metric-si-prefixes,
terameter,1000000000000,1,0,1,metricSi,https://www.nist.gov/pml/owm/metric-si-prefixes,
gigameter,1000000000,1,0,1,metricSi,https://www.nist.gov/pml/owm/metric-si-prefixes,
megameter,1000000,1,0,1,metricSi,https://www.nist.gov/pml/owm/metric-si-prefixes,
kilometer,1000,1,0,1,metricSi,https://www.nist.gov/pml/owm/metric-si-prefixes,
hectometer,100,1,0,1,metricSi,https://www.nist.gov/pml/owm/metric-si-prefixes,
decameter,10,1,0,1,metricSi,https://www.nist.gov/pml/owm/metric-si-prefixes,
decimeter,1,10,0,1,metricSi,https://www.nist.gov/pml/owm/metric-si-prefixes,
centimeter,1,100,0,1,metricSi,https://www.nist.gov/pml/owm/metric-si-prefixes,
millimeter,1,1000,0,1,metricSi,https://www.nist.gov/pml/owm/metric-si-prefixes,
micrometer,1,1000000,0,1,metricSi,https://www.nist.gov/pml/owm/metric-si-prefixes,
nanometer,1,1000000000,0,1,metricSi,https://www.nist.gov/pml/owm/metric-si-prefixes,
picometer,1,1000000000000,0,1,metricSi,https://www.nist.gov/pml/owm/metric-si-prefixes,
femtometer,1,1000000000000000,0,1,metricSi,https://www.nist.gov/pml/owm/metric-si-prefixes,
attometer,1,1000000000000000000,0,1,metricSi,https://www.nist.gov/pml/owm/metric-si-prefixes,
zeptometer,1,1000000000000000000000,0,1,metricSi,https://www.nist.gov/pml/owm/metric-si-prefixes,
yoctometer,1,1000000000000000000000000,0,1,metricSi,https://www.nist.gov/pml/owm/metric-si-prefixes,
rontometer,1,1000000000000000000000000000,0,1,metricSi,doi:10.59161/10.59161/CGPM2022RES3E,
quectometer,1,1000000000000000000000000000000,0,1,metricSi,doi:10.59161/10.59161/CGPM2022RES3E,
myriameter,10000,1,0,1,metricNonSi,,
angstrom,1,10000000000,0,1,metricNonSi,,
leagueImperial,603504,125,0,1,english,doi:10.1007/978-1-4471-0003-4,30
mileImperial,201168,125,0,1,english,doi:10.1007/978-1-4471-0003-4,30
rod,12573,2500,0,1,english,doi:10.1007/978-1-4471-0003-4,30
yardImperial,1143,1250,0,1,english,doi:10.1007/978-1-4471-0003-4,30
pace,381,500,0,1,english,doi:10.1007/978-1-4471-0003-4,30
cubitImperial,1143,2500,0,1,english,doi:10.1007/978-1-4471-0003-4,30
footImperial,381,1250,0,1,english,doi:10.1007/978-1-4471-0003-4,30
spanImperial,1143,5000,0,1,english,doi:10.1007/978-1-4471-0003-4,30
hand,127,1250,0,1,english,doi:10.1007/978-1-4471-0003-4,30
palmImperial,381,5000,0,1,english,doi:10.1007/978-1-4471-0003-4,30
inchImperial,127,5000,0,1,english,doi:10.1007/978-1-4471-0003-4,30
lineImperialUK,127,60000,0,1,english,doi:10.1007/978-1-4471-0003-4,30
point,127,720000,0,1,english,doi:10.1007/978-1-4471-0003-4,30
furlong,25146,125,0,1,english,doi:10.1007/978-1-4471-0003-4,31
chainGunter,12573,625,0,1,english,doi:10.1007/978-1-4471-0003-4,31
linkGunter,12573,62500,0,1,english,doi:10.1007/978-1-4471-0003-4,31
lea,13716,125,0,1,english,doi:10.1007/978-1-4471-0003-4,29
wrap,9144,125,0,1,english,doi:10.1007/978-1-4471-0003-4,29
bolt,4572,125,0,1,english,doi:10.1007/978-1-4471-0003-4,29
shackle,3429,125,0,1,english,doi:10.1007/978-1-4471-0003-4,29
rope,762,125,0,1,english,doi:10.1007/978-1-4471-0003-4,29
ellImperial,1143,1000,0,1,english,doi:10.1007/978-1-4471-0003-4,29
nail,1143,20000,0,1,english,doi:10.1007/978-1-4471-0003-4,29
fingerImperial,889,40000,0,1,english,doi:10.1007/978-1-4471-0003-4,29
barleycorn,127,15000,0,1,english,doi:10.1007/978-1-4471-0003-4,29
button,127,60000,0,1,english,doi:10.1007/978-1-4471-0003-4,29
iron,127,240000,0,1,english,doi:10.1007/978-1-4471-0003-4,29
calibre,127,500000,0,1,english,doi:10.1007/978-1-4471-0003-4,29
thouImperial,127,5000000,0,1,english,doi:10.1007/978-1-4471-0003-4,29
leagueNauticalUK,5559552,1000,0,1,english,doi:10.1007/978-1-4471-0003-4,29
mileNauticalUK,1853184,1000,0,1,english,doi:10.1007/978-1-4471-0003-4,29
cableNauticalUK,1853184,10000,0,1,english,doi:10.1007/978-1-4471-0003-4,29
chainNauticalUK,1143,250,0,1,english,doi:10.1007/978-1-4471-0003-4,29
fathomImperial,1143,625,0,1,english,doi:10.1007/978-1-4471-0003-4,29
xunitCopper,100207697,1000000000000000000000,0,1,constants,doi:10.1103/RevModPhys.80.633,716
xunitMolybdenum,3131561,3125000000,0,1,constants,doi:10.1103/RevModPhys.80.633,716
plank,323251,20000000000000000000000000000000000000000,0,1,constants,https://physics.nist.gov/cgi-bin/cuu/Value?plkl,
digitByzantine,3123,160000,0,1,byzantine,,
palmByzantine,3123,40000,0,1,byzantine,,
halfpous,3123,20000,0,1,byzantine,,
spanByzantine,9369,40000,0,1,byzantine,,
pousByzantine,3123,10000,0,1,byzantine,,
cubitPublic,9369,20000,0,1,byzantine,,
cubitGeometric,3123,5000,0,1,byzantine,,
paceSingle,3123,4000,0,1,byzantine,,
paceDouble,3123,2000,0,1,byzantine,,
orguiaSimple,9369,5000,0,1,byzantine,,
orguiaGeometric,84321,40000,0,1,byzantine,,
perch,3123,1000,0,1,byzantine,,
schoinionBalkan,9369,500,0,1,byzantine,,
schoinionAsia,28107,1250,0,1,byzantine,,
plethron,3123,100,0,1,byzantine,,
stade,9369,50,0,1,byzantine,,
bowshot,3123,10,0,1,byzantine,,
mileByzantine,3123,2,0,1,byzantine,,
schoenus,6246,1,0,1,byzantine,,
journeyDay,46845,1,0,1,byzantine,,
journeyWeek,327915,1,0,1,byzantine,,
fathomCornish,381,250,0,1,cornish,,
mileCornish,301752,125,0,1,cornish,,
pic,381,625,0,1,cypriot,,
footCypriot,381,1250,0,1,cypriot,,
stopaBohemian,37,125,0,1,czech,,
loketBohemian,74,125,0,1,czech,,
sahBohemian,222,125,0,1,czech,,
latroBohemian,4773,2500,0,1,czech,,
mileBohemian,873459,125,0,1,czech,,
stopaPraha,593,2000,0,1,czech,,
loketPraha,593,1000,0,1,czech,,
sahPraha,1779,1000,0,1,czech,,
latroPraha,76497,40000,0,1,czech,,
milePraha,13998951,2000,0,1,czech,,
stopaMoravian,71,250,0,1,czech,,
loketMoravian,71,125,0,1,czech,,
sahMoravian,213,125,0,1,czech,,
latroMoravian,9159,5000,0,1,czech,,
mileMoravian,1676097,250,0,1,czech,,
stopaSilesian,579,2000,0,1,czech,,
loketSilesian,579,1000,0,1,czech,,
sahSilesian,1737,1000,0,1,czech,,
latroSilesian,74691,40000,0,1,czech,,
mileSilesian,13668453,2000,0,1,czech,,
miil,7532568,1000,0,1,danish,,
ruthe,3766284,1000000,0,1,danish,,
favn,1883142,1000000,0,1,danish,,
aln,627714,1000000,0,1,danish,,
fod,313857,1000000,0,1,danish,,
tomme,2615475,100000000,0,1,danish,,
linie,21795625,10000000000,0,1,danish,,
uren,5000244301,1000000,0,1,dutch,,
myl,5000244301,5000000,0,1,dutch,,
roeden,18398861,5000000,0,1,dutch,,
elle,1415297,2000000,0,1,dutch,,
