id,m1,m2,b1,b2,category,reference,page
kilogram,1,1,0,1,metricSi,,
quettagram,1000000000000000000000000000,1,0,1,metricSi,doi:10.59161/10.59161/CGPM2022RES3E,
ronnagram,1000000000000000000000000,1,0,1,metricSi,doi:10.59161/10.59161/CGPM2022RES3E,
yottagram,1000000000000000000000,1,0,1,metricSi,https://www.nist.gov/pml/owm/metric-si-prefixes,
zettagram,1000000000000000000,1,0,1,metricSi,https://www.nist.gov/pml/owm/metric-si-prefixes,
exagram,1000000000000000,1,0,1,metricSi,https://www.nist.gov/pml/owm/metric-si-prefixes,
petagram,1000000000000,1,0,1,metricSi,https://www.nist.gov/pml/owm/metric-si-prefixes,
teragram,1000000000,1,0,1,metricSi,https://www.nist.gov/pml/owm/metric-si-prefixes,
gigagram,1000000,1,0,1,metricSi,https://www.nist.gov/pml/owm/metric-si-prefixes,
megagram,1000,1,0,1,metricSi,https://www.nist.gov/pml/owm/metric-si-prefixes,
hectogram,1,10,0,1,metricSi,https://www.nist.gov/pml/owm/metric-si-prefixes,
decagram,1,100,0,1,metricSi,https://www.nist.gov/pml/owm/metric-si-prefixes,
gram,1,1000,0,1,metricSi,
decigram,1,10000,0,1,metricSi,https://www.nist.gov/pml/owm/metric-si-prefixes,
centigram,1,100000,0,1,metricSi,https://www.nist.gov/pml/owm/metric-si-prefixes,
milligram,1,1000000,0,1,metricSi,https://www.nist.gov/pml/owm/metric-si-prefixes,
microgram,1,1000000000,0,1,metricSi,https://www.nist.gov/pml/owm/metric-si-prefixes,
nanogram,1,1000000000000,0,1,metricSi,https://www.nist.gov/pml/owm/metric-si-prefixes,
picogram,1,1000000000000000,0,1,metricSi,https://www.nist.gov/pml/owm/metric-si-prefixes,
femtogram,1,1000000000000000000,0,1,metricSi,https://www.nist.gov/pml/owm/metric-si-prefixes,
attogram,1,1000000000000000000000,0,1,metricSi,doi:10.59161/10.59161/CGPM2022RES3E,
zeptogram,1,1000000000000000000000000,0,1,metricSi,doi:10.59161/10.59161/CGPM2022RES3E,
yoctogram,1,1000000000000000000000000000,0,1,metricSi,doi:10.59161/10.59161/CGPM2022RES3E,
rontogram,1,1000000000000000000000000000000,0,1,metricSi,doi:10.59161/10.59161/CGPM2022RES3E,
quectogram,1,1000000000000000000000000000000000,0,1,metricSi,doi:10.59161/10.59161/CGPM2022RES3E,
