id,slopeNumerator,slopeDenominator,yinterceptNumerator,yinterceptDenominator,category,reference,page
sheet,1,1,0,1,english,doi:10.1007/978-1-4471-0003-4,51
bale,5000,1,0,1,english,doi:10.1007/978-1-4471-0003-4,51
bundle,1000,1,0,1,english,doi:10.1007/978-1-4471-0003-4,51
ream,500,1,0,1,english,doi:10.1007/978-1-4471-0003-4,51
quire,25,1,0,1,english,doi:10.1007/978-1-4471-0003-4,51
baleOld,4800,1,0,1,english,doi:10.1007/978-1-4471-0003-4,51
bundleOld,960,1,0,1,english,doi:10.1007/978-1-4471-0003-4,51
reamOld,480,1,0,1,english,doi:10.1007/978-1-4471-0003-4,51
quireOld,24,1,0,1,english,doi:10.1007/978-1-4471-0003-4,51
reamPerfect,516,1,0,1,english,doi:10.1007/978-1-4471-0003-4,51
