id,m1,m2,b1,b2,category,reference,page
second,1,1,0,1,metricSi,,
quettasecond,1000000000000000000000000000000,1,0,1,metricSi,doi:10.59161/10.59161/CGPM2022RES3E,
ronnasecond,1000000000000000000000000000,1,0,1,metricSi,doi:10.59161/10.59161/CGPM2022RES3E,
yottasecond,1000000000000000000000000,1,0,1,metricSi,https://www.nist.gov/pml/owm/metric-si-prefixes,
zettasecond,1000000000000000000000,1,0,1,metricSi,https://www.nist.gov/pml/owm/metric-si-prefixes,
exasecond,1000000000000000000,1,0,1,metricSi,https://www.nist.gov/pml/owm/metric-si-prefixes,
petasecond,1000000000000000,1,0,1,metricSi,https://www.nist.gov/pml/owm/metric-si-prefixes,
terasecond,1000000000000,1,0,1,metricSi,https://www.nist.gov/pml/owm/metric-si-prefixes,
gigasecond,1000000000,1,0,1,metricSi,https://www.nist.gov/pml/owm/metric-si-prefixes,
megasecond,1000000,1,0,1,metricSi,https://www.nist.gov/pml/owm/metric-si-prefixes,
kilosecond,1000,1,0,1,metricSi,https://www.nist.gov/pml/owm/metric-si-prefixes,
hectosecond,100,1,0,1,metricSi,https://www.nist.gov/pml/owm/metric-si-prefixes,
decasecond,10,1,0,1,metricSi,https://www.nist.gov/pml/owm/metric-si-prefixes,
decisecond,1,10,0,1,metricSi,https://www.nist.gov/pml/owm/metric-si-prefixes,
centisecond,1,100,0,1,metricSi,https://www.nist.gov/pml/owm/metric-si-prefixes,
millisecond,1,1000,0,1,metricSi,https://www.nist.gov/pml/owm/metric-si-prefixes,
microsecond,1,1000000,0,1,metricSi,https://www.nist.gov/pml/owm/metric-si-prefixes,
nanosecond,1,1000000000,0,1,metricSi,https://www.nist.gov/pml/owm/metric-si-prefixes,
picosecond,1,1000000000000,0,1,metricSi,https://www.nist.gov/pml/owm/metric-si-prefixes,
femtosecond,1,1000000000000000,0,1,metricSi,https://www.nist.gov/pml/owm/metric-si-prefixes,
attosecond,1,1000000000000000000,0,1,metricSi,https://www.nist.gov/pml/owm/metric-si-prefixes,
zeptosecond,1,1000000000000000000000,0,1,metricSi,https://www.nist.gov/pml/owm/metric-si-prefixes,
yoctosecond,1,1000000000000000000000000,0,1,metricSi,https://www.nist.gov/pml/owm/metric-si-prefixes,
rontosecond,1,1000000000000000000000000000,0,1,metricSi,doi:10.59161/10.59161/CGPM2022RES3E,
quectosecond,1,1000000000000000000000000000000,0,1,metricSi,doi:10.59161/10.59161/CGPM2022RES3E,
minute,60,1,0,1,metricNonSi,,
hour,3600,1,0,1,metricNonSi,,
dayCalendar,86400,1,0,1,metricNonSi,,
week,604800,1,0,1,conventional,,
yearCommon,31536000,1,0,1,conventional,,
yearLeap,31622400,1,0,1,conventional,,
